'C-K-RAS	KRAS
PAX8	PAX8
PB1	PBRM1
PBEF	NAMPT
PBEF1	NAMPT
PBM1	AFF1
PBRM1	PBRM1
PBT	KIT
PBX1	PBX1
PC7	PCSK7
PC8	PCSK7
PCANAP2	SLC45A3
PCANAP6	SLC45A3
PCANAP8	SLC45A3
PCASP1	MALT1
PCDH16	DCHS1
PCDH23	DCHS2
PCDHJ	DCHS2
PCL	FLT4
PCM1	PCM1
PCSK7	PCSK7
PD-1	PDCD1
PD-L1	CD274
PD-L2	PDCD1LG2
PD1	PDCD1
PDCD1	PDCD1
PDCD1L1	CD274
PDCD1L2	PDCD1LG2
PDCD1LG1	CD274
PDCD1LG2	PDCD1LG2
PDE4DIP	PDE4DIP
PDEF	SPDEF
PDGF-2	PDGFB
PDGF-A	PDGFA
PDGF1	PDGFA
PDGF2	PDGFB
PDGFA	PDGFA
PDGFB	PDGFB
PDGFR	PDGFRB
PDGFR-1	PDGFRB
PDGFR-2	PDGFRA
PDGFR1	PDGFRB
PDGFR2	PDGFRA
PDGFRA	PDGFRA
PDGFRB	PDGFRB
PDK1	PDPK1
PDL1	CD274
PDL2	PDCD1LG2
PDMCS	MAX
PDPK1	PDPK1
PE-1	ETV3
PE-2	ERF
PE1	ETV3
PE2	ERF
PEA3	ETV4
PEAS3	ETV4
PEBP2B	CBFB
PEBP2aB	RUNX1
PEBP2alpha	RUNX1
PEM	MUC1
PEMT	MUC1
PEN-2	PSENEN
PEN2	PSENEN
PENTT	PDGFRB
PER	PER1
PER1	PER1
PET-1	FEV
PFBMFT1	TERT
PFBMFT2	TERC
PFBMFT3	RTEL1
PFBMFT4	PARN
PFBMFT6	RPA1
PFBMFT8	POT1
PFBMFT9	NOP10
PFIC-2	ABCB11
PFIC2	ABCB11
PFM13	PRDM16
PFM5	PRDM8
PFM7	PRDM10
PFP	PRF1
PFRK	FOXL2
PGFS	AKR1C3
PGL	SDHD
PGL1	SDHD
PGL2	SDHAF2
PGL3	SDHC
PGL4	SDHB
PGL5	SDHA
PGY4	ABCB11
PH5P	PARP4
PHD1	EGLN2
PHD2	EGLN1
PHF6	PHF6
PHF9	FANCL
PHL	BCR
PHLPP	PHLPP1
PHLPP1	PHLPP1
PHLPP2	PHLPP2
PHLPPL	PHLPP2
PHLS	SMO
PHOX1	PRRX1
PHOX2B	PHOX2B
PHR1	MYCBP2
PHS2	GLI2
PI31	PSMF1
PI3CG	PIK3CG
PI3K-alpha	PIK3CA
PI3KBETA	PIK3CB
PI3Kdelta	PIK3CD
PI3Kgamma	PIK3CG
PIA	RICTOR
PICALM	PICALM
PICD	IDH1
PIG-A	PIGA
PIG2	GREM1
PIG61	EGFR
PIG8	CEP57
PIGA	PIGA
PIK3	PIK3CG
PIK3C1	PIK3CB
PIK3CA	PIK3CA
PIK3CB	PIK3CB
PIK3CD	PIK3CD
PIK3CG	PIK3CG
PIK3R1	PIK3R1
PIK3R2	PIK3R2
PIM	PIM1
PIM1	PIM1
PINK1	PINK1
PINTO	FOXL2
PIP1	ACD
PIST	GOPC
PITA1	AIP
PITA3	GNAS
PITALRE	CDK9
PJS	STK11
PKA C-beta	PRKACB
PKACA	PRKACA
PKACB	PRKACB
PKACg	PRKACG
PKB	AKT1
PKB-ALPHA	AKT1
PKB-GAMMA	AKT3
PKBB	AKT2
PKBBETA	AKT2
PKBG	AKT3
PKC-L	PRKCH
PKC-MU	PRKD1
PKC-alpha	PRKCA
PKC-beta	PRKCB
PKCA	PRKCA
PKCB	PRKCB
PKCD	PRKCD
PKCE	PRKCE
PKCI	PRKCI
PKCI(2)	PRKCB
PKCI+/-	PRKCA
PKCL	PRKCH
PKCM	PRKD1
PKCalpha	PRKCA
PKCbeta	PRKCB
PKD	PRKD1
PKD1	PRKD1
PKR1	PRKAR1A
PKR2	PRKAR2A
PKS2	ARAF
PKWS	RASA1
PLAG1	PLAG1
PLCA1	OSMR
PLCA3	GPNMB
PLEKHE1	PHLPP1
PLK	PLK1
PLK1	PLK1
PLS2	LCP1
PLSTIRE	CDK6
PLZF	ZBTB16
PMEL	PMEL
PMEL17	PMEL
PMGYSA	TUBB2B
PML	PML
PMN-E	ELANE
PMS-2	PMS2
PMS1	PMS1
PMS2	PMS2
PMSA2	PSMA2
PMSB1	PSMB1
PMSL1	PMS1
PMSL2	PMS2
PMX1	PRRX1
PMX2B	PHOX2B
PN	USB1
PN1	SCN9A
PNCA1	PALLD
PNCA2	BRCA2
PNCA3	PALB2
PNCA4	BRCA1
PNH1	PIGA
PNT5	NT5C2
PNUTL1	SEPTIN5
PNUTL4	SEPTIN9
POB1	TRIM37
POBINDS	CSNK2B
POF15	FANCM
POF17	XRCC2
POF3	FOXL2
POF7	NR5A1
POG	FANCL
POH	GNAS
POH1	PSMD14
POLD	POLD1
POLD1	POLD1
POLD3	POLD3
POLE	POLE
POLE1	POLE
POLH	POLH
POLR1A	POLR1A
POLR1B	POLR1B
POLR1C	POLR1C
POLR1D	POLR1D
POLR1E	POLR1E
POLR1F	POLR1F
POLR1G	POLR1G
POLR1H	POLR1H
POMP100	SFPQ
POMP75	FUS
POP3	MLST8
POT1	POT1
POU2AF1	POU2AF1
POU2AF3	POU2AF3
POU5F1	POU5F1
PP1425	CHEK2
PP2A-Aalpha	PPP2R1A
PP2AA	PPP2R1A
PP2AAALPHA	PPP2R1A
PP2C-DELTA	PPM1D
PP384	WDCP
PP610	PRR5
PP8675	PML
PPARG	PPARG
PPARG1	PPARG
PPARG2	PPARG
PPARG5	PPARG
PPARgamma	PPARG
PPBL	CARD11
PPD1	GLI1
PPGL1	SDHD
PPGL2	SDHAF2
PPGL3	SDHC
PPGL4	SDHB
PPGL5	SDHA
PPGL8	TMEM127
PPH2	SMAD9
PPM1D	PPM1D
PPM3A	PHLPP1
PPM3B	PHLPP2
PPNAD1	PRKAR1A
PPNAD4	PRKACA
PPOL	PARP1
PPP1R109	NCOR1
PPP1R114	NONO
PPP1R128	POLD3
PPP1R130	RB1
PPP1R140	SFPQ
PPP1R144	SMARCB1
PPP1R147	SPRED1
PPP1R157	TRIM28
PPP1R160	TSC2
PPP1R168	WWC1
PPP1R45	AKAP9
PPP1R46	APC
PPP1R47	AURKA
PPP1R48	AURKB
PPP1R50	BCL2
PPP1R52	BCL2L1
PPP1R53	BRCA1
PPP1R55	KNL1
PPP1R68	ELL
PPP1R71	PTK2
PPP1R90	HDAC6
PPP1R92	IKZF1
PPP2R1A	PPP2R1A
PPRibP	PRPS1
PR264	SRSF2
PR65A	PPP2R1A
PRAAS1	PSMB8
PRAAS5	PSMB10
PRAAS6	PSMB9
PRAD1	CCND1
PRAF1	POLR1E
PRAME	PRAME
PRAS40	AKT1S1
PRCC	PRCC
PRDI-BF1	PRDM1
PRDM1	PRDM1
PRDM10	PRDM10
PRDM16	PRDM16
PRDM3	MECOM
PRDM8	PRDM8
PREF1	DLK1
PRF1	PRF1
PRKA9	AKAP9
PRKACA	PRKACA
PRKACB	PRKACB
PRKACG	PRKACG
PRKAR1A	PRKAR1A
PRKAR1B	PRKAR1B
PRKAR2A	PRKAR2A
PRKAR2B	PRKAR2B
PRKBA	AKT1
PRKBB	AKT2
PRKBG	AKT3
PRKCA	PRKCA
PRKCB	PRKCB
PRKCB1	PRKCB
PRKCB2	PRKCB
PRKCBP2	OLIG2
PRKCD	PRKCD
PRKCE	PRKCE
PRKCH	PRKCH
PRKCI	PRKCI
PRKCL	PRKCH
PRKCM	PRKD1
PRKCQ	PRKCQ
PRKCT	PRKCQ
PRKD1	PRKD1
PRKDC	PRKDC
PRKM1	MAPK1
PRKM11	MAPK11
PRKM14	MAPK14
PRKM15	MAPK14
PRKM2	MAPK1
PRKM3	MAPK3
PRKMK1	MAP2K1
PRKMK2	MAP2K2
PRKMK4	MAP2K4
PRLMNS	DIS3L2
PRMT2	PRMT2
PRMT5	PRMT5
PRO0461	PDPK1
PRO0758	IKZF1
PRO1280	SUFU
PRO1328	APH1B
PRO2194	ACSL3
PRO232	PSCA
PRO2451	SMARCD2
PRO2792	ARHGEF12
PRO2975	CSNK1A1
PRO820	FCRL5
PROMM	CNBP
PROS-26	PSMB4
PROS26	PSMB4
PROS27	PSMA6
PROS30	PSMA1
PROTOR-1	PRR5
PROTOR1	PRR5
PROXY1	NDRG1
PRP10	SF3B1
PRPF10	SF3B1
PRPS1	PRPS1
PRR5	PRR5
PRRX1	PRRX1
PRS-I	PRPS1
PRSI	PRPS1
PRSS10	TMPRSS2
PRSS24	STEAP1
PRST	SLC45A3
PRX-1	PRRX1
PRX1	PRRX1
PS-1	PSEN1
PS1	PSEN1
PS2	PSEN2
PS6K	RPS6KB1
PSC2	PSMA2
PSC3	PSMA3
PSC9	PSMA4
PSCA	PSCA
PSCP	BRCA1
PSCTK1	BTK
PSCTK2	ITK
PSEN1	PSEN1
PSEN2	PSEN2
PSENEN	PSENEN
PSF	SFPQ
PSFL	APH1B
PSGD	HOXB13
PSIP1	PSIP1
PSIP2	PSIP1
PSK-J3	CDK4
PSM	FOLH1
PSMA	FOLH1
PSMA1	PSMA1
PSMA2	PSMA2
PSMA3	PSMA3
PSMA4	PSMA4
PSMA5	PSMA5
PSMA6	PSMA6
PSMA7	PSMA7
PSMA7L	PSMA8
PSMA8	PSMA8
PSMB1	PSMB1
PSMB10	PSMB10
PSMB2	PSMB2
PSMB3	PSMB3
PSMB4	PSMB4
PSMB5	PSMB5
PSMB5i	PSMB8
PSMB6	PSMB6
PSMB6i	PSMB9
PSMB7	PSMB7
PSMB8	PSMB8
PSMB9	PSMB9
PSMC1	PSMC1
PSMC2	PSMC2
PSMC3	PSMC3
PSMC4	PSMC4
PSMC5	PSMC5
PSMC6	PSMC6
PSMD1	PSMD1
PSMD10	PSMD10
PSMD11	PSMD11
PSMD12	PSMD12
PSMD13	PSMD13
PSMD14	PSMD14
PSMD15	SEM1
PSMD16	ADRM1
PSMD2	PSMD2
PSMD3	PSMD3
PSMD4	PSMD4
PSMD5	PSMD5
PSMD6	PSMD6
PSMD7	PSMD7
PSMD8	PSMD8
PSMD9	PSMD9
PSME1	PSME1
PSME2	PSME2
PSME3	PSME3
PSME4	PSME4
PSMF1	PSMF1
PSNL1	PSEN1
PTC2	PTCH2
PTC3	NCOA4
PTC4	PCM1
PTC6	TRIM24
PTC7	TRIM33
PTCH	PTCH1
PTCH1	PTCH1
PTCH2	PTCH2
PTEN	PTEN
PTEN1	PTEN
PTENbeta	PTEN
PTENgama	PTEN
PTK2	PTK2
PTK3	DDR1
PTK3A	DDR1
PTK8	MST1R
PTN2	PTPN2
PTOP	ACD
PTORCH3	STAT2
PTP-1D	PTPN11
PTP1B	PTPN1
PTP2C	PTPN11
PTPD	PTPRD
PTPN1	PTPN1
PTPN11	PTPN11
PTPN2	PTPN2
PTPRD	PTPRD
PTPT	PTPN2
PU.1	SPI1
PULAM	SLC34A2
PURH	ATIC
Phr	MYCBP2
Poly-PARP	PARP1
Pref-1	DLK1
Prkar1alpha	PRKAR1A
QPS1	SDHC
QPs3	SDHD
QRF1	FOXP1
R-PTP-delta	PTPRD
R51H2	RAD51B
RAB27	RAB27A
RAB27A	RAB27A
RAB5EP	RABEP1
RABEP1	RABEP1
RABPT5	RABEP1
RAC	AKT1
RAC-ALPHA	AKT1
RAC-BETA	AKT2
RAC-PK-gamma	AKT3
RAC-gamma	AKT3
RACK17	OLIG2
RAD1	ERCC4
RAD10	ERCC1
RAD25	ERCC3
RAD30	POLH
RAD30A	POLH
RAD4	XPC
RAD50	RAD50
RAD502	RAD50
RAD51	RAD51
RAD51A	RAD51
RAD51B	RAD51B
RAD51C	RAD51C
RAD51D	RAD51D
RAD51L1	RAD51B
RAD51L2	RAD51C
RAD51L3	RAD51D
RAD53	CHEK2
RAD54	ATRX
RAD54L	ATRX
RAF1	RAF1
RAFA1	ARAF
RAFB1	BRAF
RAFT1	MTOR
RAG-1	RAG1
RAG-2	RAG2
RAG1	RAG1
RAG2	RAG2
RAI17	ZMIZ1
RALD	KRAS
RALD1	NRAS
RALD2	KRAS
RALGDS	RALGDS
RALT	ERRFI1
RAM	RAB27A
RAMP	ZMYM2
RANBP17	RANBP17
RANSE3L	DROSHA
RAP1GDS1	RAP1GDS1
RAPAS	SETD2
RAPT1	MTOR
RAR	RARA
RARA	RARA
RARalpha	RARA
RASA	RASA1
RASA1	RASA1
RASGAP	RASA1
RASH1	HRAS
RASK2	KRAS
RAUST	NSD2
RB	RB1
RB1	RB1
RBBP-2	KDM5A
RBBP2	KDM5A
RBM15	RBM15
RBM8	RBM8A
RBM8A	RBM8A
RBP2	KDM5A
RBP56	TAF15
RBPH1	RPN1
RBTN1	LMO1
RBTN2	LMO2
RBTNL1	LMO2
RC6-1	PSMA7
RCA1	VHL
RCC	PBRM1
RCC17	ASPSCR1
RCCP1	PRCC
RCCX1	TFE3
RCH04A07	GABPA
RCK	DDX6
RDC-1	ACKR3
RDC1	ACKR3
RDT	SMARCB1
RE2	GPR161
REC2	RAD51B
RECA	RAD51
RECK	RECK
RECQ2	BLM
RECQ3	WRN
RECQ4	RECQL4
RECQL4	RECQL4
REF1	TEAD1
REG-GAMMA	PSME3
REGalpha	PSME1
REGbeta	PSME2
REIIBP	NSD2
REL	REL
REL-B	RELB
RELA	RELA
RELB	RELB
REPA1	RPA1
REPA3	RPA3
REST	REST
RET	RET
RET-ELE1	RET
RET/PCM-1	PCM1
RF-A	RPA1
RFG	NCOA4
RFG5	GOLGA5
RFG7	TRIM33
RFP	TRIM27
RGDS	RALGDS
RGF	RALGDS
RHBDF2	RHBDF2
RHBDL5	RHBDF2
RHBDL6	RHBDF2
RHEB	RHEB
RHEB2	RHEB
RHO12	RHOA
RHOA	RHOA
RHOBP	RHPN2
RHOGAP2	CHN1
RHOH	RHOH
RHOH12	RHOA
RHOM1	LMO1
RHOM2	LMO2
RHPN2	RHPN2
RHS	TP63
RIA1	ELF1
RIAZ	PATZ1
RIBB	RIT1
RICTOR	RICTOR
RIG-I	RIGI
RIG1	RIGI
RIGI	RIGI
RIGUI	PER1
RII-BETA	PRKAR2B
RIIC	TGFBR2
RING10	PSMB8
RING12	PSMB9
RING3	BRD2
RING3L	BRD3
RIP160	NCOA1
RIT	RIT1
RIT1	RIT1
RIT42	NDRG1
RITA	ZNF331
RK	MAPK14
RLR-1	RIGI
RMI2	RMI2
RMP	ABCA4
RMRP	RMRP
RMRPR	RMRP
RMS2	PAX7
RMSE2	DICER1
RN	U2AF1
RN3	DROSHA
RNASE3L	DROSHA
RNASEN	DROSHA
RNF136	BIRC8
RNF163	CNBP
RNF213	RNF213
RNF3	BRD2
RNF48	BIRC2
RNF49	BIRC3
RNF50	BIRC7
RNF53	BRCA1
RNF55	CBL
RNF56	CBLB
RNF57	CBLC
RNF71	PML
RNF74	RAG1
RNF76	TRIM27
RNF82	TRIM24
RNF96	TRIM28
RNHF	TGFB3
RNPA2	HNRNPA2B1
RNU2AF1	U2AF1
RNX	TLX3
RO	CALR
ROC1	RIT1
ROCHIS	PIK3CD
RON	MST1R
ROPP120	EML4
ROR1	ROR1
ROR2	ROR2
ROS	ROS1
ROS1	ROS1
RP-A	RPA1
RP-A p14	RPA3
RP19	ABCA4
RP38	MERTK
RP39	USH2A
RP86	KIAA1549
RPA1	RPA1
RPA135	POLR1B
RPA16	POLR1D
RPA190	POLR1A
RPA194	POLR1A
RPA2	POLR1B
RPA3	RPA3
RPA34	POLR1G
RPA39	POLR1C
RPA40	POLR1C
RPA43	POLR1F
RPA49	POLR1E
RPA5	POLR1C
RPA70	RPA1
RPA9	POLR1D
RPAC1	POLR1C
RPAC2	POLR1D
RPC16	POLR1D
RPC40	POLR1C
RPD3-2	HDAC3
RPD3L1	HDAC1
RPL11	RPL11
RPL35A	RPL35A
RPN1	RPN1
RPN11	PSMD14
RPN3	PSMD3
RPO1-3	POLR1D
RPO1-4	POLR1A
RPO14	POLR1A
RPS17	RPS17
RPS17L	RPS17
RPS17L1	RPS17
RPS17L2	RPS17
RPS19	RPS19
RPS24	RPS24
RPS6KB1	RPS6KB1
RPS7	RPS7
RPT1	PSMC2
RPT2	PSMC1
RPT3	PSMC4
RPT6	PSMC5
RPTOR	RPTOR
RPTPDELTA	PTPRD
RRP2	RMRP
RRS1	ROR2
RSE	TYRO3
RSRFR2	MEF2B
RSTS	CREBBP
RSTS1	CREBBP
RSTS2	EP300
RTEF1	TEAD4
RTEL	RTEL1
RTEL1	RTEL1
RTK6	DDR1
RTP	NDRG1
RTPS1	SMARCB1
RTPS2	SMARCA4
RUNDC2A	SNX29
RUNX1	RUNX1
RUNX1T3	CBFA2T3
RUNXBP2	KAT6A
RUSAT1	HOXA11
RUSAT2	MECOM
Raf-1	RAF1
RalGEF	RALGDS
Rck/p54	DDX6
Rek	TYRO3
Rhe	FIP1L1
Rpa12	POLR1H
Rpn10	PSMD4
Rpn12	PSMD8
Rpn2	PSMD1
Rpn4	PSMD9
Rpn5	PSMD12
Rpn6	PSMD11
Rpn7	PSMD6
Rpn8	PSMD7
Rpn9	PSMD13
Rpo1-2	POLR1B
S1	PSMD1
S10	PSMD6
S11	PSMD13
S12	PSMD7
S14	PSMD8
S152	CD27
S152. LPFS2	CD27
S17	RPS17
S182	PSEN1
S19	RPS19
S2	PSMD2
S24	RPS24
S3	PSMD3
S4	PSMC1
S473K	PRKDC
S5A	PSMD4
S5B	PSMD5
S6	PSMC4
S6K	RPS6KB1
S6K-beta-1	RPS6KB1
S6K1	RPS6KB1
S8	PSMC5
S9	PSMD11
SA-2	STAG2
SA2	STAG2
SAIDV	LYN
SAMD9	SAMD9
SAMD9L	SAMD9L
SAMRCA2	SMARCA2
SAP	SH2D1A
SAP-2	ELK3
SAP/SH2D1A	SH2D1A
SAP1	ELK4
SAP155	SF3B1
SAP2	ELK3
SAPK2	MAPK11
SAPK2A	MAPK14
SAPK2B	MAPK11
SAPKK-1	MAP2K4
SAPKK1	MAP2K4
SAV	SAV1
SAV1	SAV1
SAVI	STING1
SB1.8	SMC1A
SBBIZ1	MYNN
SBDS	SBDS
SBMA	AR
SBS	CYLD
SC-35	SRSF2
SC35	SRSF2
SCA45	FAT2
SCA49	SAMD9L
SCAN-1	CANT1
SCAN1	CANT1
SCARNA19	TERC
SCC3B	STAG2
SCDO1	DLL3
SCFR	KIT
SCG2	MEN1
SCG5	SCG5
SCG6	GNAS
SCH	NF2
SCKL	ATR
SCKL1	ATR
SCKL7	NIN
SCL	TAL1
SCLL	ZMYM2
SCN1	ELANE
SCN2	GFI1
SCN3	HAX1
SCN4	G6PC3
SCN7	CSF3R
SCN9A	SCN9A
SCNX	WAS
SCOP	PHLPP1
SCRA1	MNX1
SCYB10	CXCL10
SDC4	SDC4
SDH	SDHB
SDH3	SDHC
SDH4	SDHD
SDH5	SDHAF2
SDHA	SDHA
SDHAF2	SDHAF2
SDHB	SDHB
SDHC	SDHC
SDHD	SDHD
SDHF	SDHA
SDHIP	SDHB
SDI1	CDKN1A
SDO1	SBDS
SDR35C1	KDSR
SDS	SBDS
SDYS	GPC3
SE204	TSPYL2
SEA	MST1R
SEB	SETBP1
SEK1	MAP2K4
SEL-10	FBXW7
SEL10	FBXW7
SEM1	SEM1
SEP2	SEPTIN6
SEPT2	SEPTIN6
SEPT5	SEPTIN5
SEPT6	SEPTIN6
SEPT9	SEPTIN9
SEPTIN5	SEPTIN5
SEPTIN6	SEPTIN6
SEPTIN9	SEPTIN9
SERK1	MAP2K4
SET2	SETD2
SETBP1	SETBP1
SETD1B	SETD1B
SETD2	SETD2
SETD5B	KMT2E
SF	HGF
SF-1	NR5A1
SF1	NR5A1
SF3B1	SF3B1
SF3b155	SF3B1
SFNP	SCN9A
SFPI1	SPI1
SFPQ	SFPQ
SFRS2	SRSF2
SFRS2A	SRSF2
SFRS3	SRSF3
SFTA5	CLDN18
SFTPJ	CLDN18
SGA-113M	PSMD6
SGB	GPC3
SGBS	GPC3
SGBS1	GPC3
SGD2	SMARCD2
SGK	SGK1
SGK1	SGK1
SGMRT2	RIGI
SGNE1	SCG5
SGPA	PLAG1
SH-PTP2	PTPN11
SH-PTP3	PTPN11
SH2B3	SH2B3
SH2BP1	CTR9
SH2D1A	SH2D1A
SH3D2B	SH3GL1
SH3GL1	SH3GL1
SH3P8	SH3GL1
SHAPNS	ASXL2
SHAPY	CANT1
SHEP8	IRF4
SHFD1	SEM1
SHFM1	SEM1
SHFM4	TP63
SHH	SHH
SHOC2	SHOC2
SHON	HIP1
SHONbeta	HIP1
SHONgamma	HIP1
SHP2	PTPN11
SHROOM2	SHROOM2
SHSF1	SEM1
SHUVER	BCORL1
SI	PMEL
SIAA0862	SHOC2
SIC-1	FLI1
SIGLEC-2	CD22
SIGLEC-3	CD33
SIGLEC2	CD22
SIGLEC3	CD33
SIH002	PALLD
SIHIWES	CHD4
SII	TCEA1
SIL	PMEL
SILV	PMEL
SIMP	FAP
SIN1	MAPKAP1
SIN1b	MAPKAP1
SIN1g	MAPKAP1
SINT1	SEPTIN9
SIS	PDGFB
SIX1	SIX1
SIX2	SIX2
SJS2	LIFR
SK	DKK1
SKB1	PRMT5
SKB1Hs	PRMT5
SKK1	MAP2K4
SKR1	ACVR1
SKR3	ACVRL1
SKR4	TGFBR1
SKR5	BMPR1A
SKS	MTOR
SLC16A1	SLC16A1
SLC34A2	SLC34A2
SLC45A3	SLC45A3
SLC65B1	PTCH1
SLC65B2	PTCH2
SLEB2	PDCD1
SLK	FYN
SLRR2C	OMD
SM20	EGLN1
SMAD4	SMAD4
SMAD7	SMAD7
SMAD8	SMAD9
SMAD8/9	SMAD9
SMAD8A	SMAD9
SMAD8B	SMAD9
SMAD9	SMAD9
SMAP270	NCOR2
SMARCA2	SMARCA2
SMARCA4	SMARCA4
SMARCB1	SMARCB1
SMARCC1	SMARCC1
SMARCC2	SMARCC2
SMARCD1	SMARCD1
SMARCD2	SMARCD2
SMARCD3	SMARCD3
SMARCE1	SMARCE1
SMARCF1	ARID1A
SMARCF2	ARID1B
SMARCF3	ARID2
SMARCH1	PBRM1
SMARCJ1	BCL7A
SMARCL1	SS18
SMARCL2	SS18L1
SMARCM1	BCL11A
SMARCM2	BCL11B
SMARCN1	ACTL6A
SMARCN2	ACTL6B
SMAX1	AR
SMC1	SMC1A
SMC1A	SMC1A
SMC1L1	SMC1A
SMC1alpha	SMC1A
SMCB	SMC1A
SMCX	KDM5C
SMDF	NRG1
SMDP4	CSF2RA
SMHC	MYH11
SMMCI	SHH
SMMHC	MYH11
SMMS-1	MYH11
SMO	SMO
SMOH	SMO
SMRP	MSLN
SMRT	NCOR2
SMRTE	NCOR2
SMRTE-tau	NCOR2
SMTPHN	AIP
SMUCKLER	TIMD4
SMYD3	SMYD3
SNF2-beta	SMARCA4
SNF2L2	SMARCA2
SNF2L4	SMARCA4
SNF2LA	SMARCA2
SNF2LB	SMARCA4
SNF5	SMARCB1
SNF5L1	SMARCB1
SNRPB1	HNRNPA2B1
SNX29	SNX29
SOC2	SHOC2
SOCS-1	SOCS1
SOCS-2	SOCS2
SOCS1	SOCS1
SOCS2	SOCS2
SOS-1	SOS1
SOS1	SOS1
SOSS-B2	SSBP2
SOTOS	NSD1
SOTOS1	NSD1
SOTV	EXT2
SOX2	SOX2
SPAX11	TUBA4A
SPC7	PCSK7
SPD	HOXD13
SPD1	HOXD13
SPDEF	SPDEF
SPECC1	SPECC1
SPG45	NT5C2
SPG57	TFG
SPG65	NT5C2
SPGF21	BRDT
SPGF28	FANCM
SPGF5	AURKC
SPGF50	XRCC2
SPGF8	NR5A1
SPGFX5	SSX1
SPGP	ABCB11
SPI-1	SPI1
SPI-A	SPI1
SPI-B	SPIB
SPI-C	SPIC
SPI1	SPI1
SPIB	SPIB
SPIC	SPIC
SPIN90	NCKIPSD
SPRED1	SPRED1
SPTCL	HAVCR2
SRC	SRC
SRC-2	NCOA2
SRG3	SMARCC1
SRGAP2	SRGAP3
SRGAP3	SRGAP3
SRIF-2	SSTR1
SRS4	PLAG1
SRS5	HMGA2
SRSF2	SRSF2
SRSF3	SRSF3
SRTD22	FGF4
SRXX4	NR5A1
SRXY3	NR5A1
SRXY6	MAP3K1
SRp20	SRSF3
SRp30b	SRSF2
SS-1-R	SSTR1
SS-3-R	SSTR3
SS-4-R	SSTR4
SS-5-R	SSTR5
SS1-R	SSTR1
SS18	SS18
SS18L1	SS18L1
SS1R	SSTR1
SS3-R	SSTR3
SS3R	SSTR3
SS4-R	SSTR4
SS4R	SSTR4
SSA	CALR
SSBP2	SSBP2
SSH3BP	ABI1
SSH3BP1	ABI1
SSI-1	SOCS1
SSI-2	SOCS2
SSI1	SOCS1
SSI2	SOCS2
SSK1	BUB1B
SSMS	EXT2
SSR-28	SSTR3
SSRC	SSX1
SST1	SSTR1
SST2	SSTR2
SST3	SSTR3
SST4	SSTR4
SST5	SSTR5
SSTR1	SSTR1
SSTR2	SSTR2
SSTR3	SSTR3
SSTR4	SSTR4
SSTR5	SSTR5
SSV	PDGFB
SSX	SSX2
SSX1	SSX1
SSX2	SSX2
SSX4	SSX4
SSXT	SS18
ST12	KLF6
ST15	RECK
STAG2	STAG2
STAT113	STAT2
STAT2	STAT2
STAT3	STAT3
STAT5A	STAT5A
STAT5B	STAT5B
STAT6	STAT6
STAT6B	STAT6
STAT6C	STAT6
STATI2	SOCS2
STEAP	STEAP1
STEAP1	STEAP1
STGD	ABCA4
STGD1	ABCA4
STING	STING1
STING-beta	STING1
STING1	STING1
STISS	PSMD12
STK-1	AURKB
STK-2	AKT3
STK11	STK11
STK12	AURKB
STK13	AURKC
STK14A	RPS6KB1
STK15	AURKA
STK3	STK3
STK4	STK4
STK5	AURKB
STK6	AURKA
STK7	AURKA
STM2	PSEN2
STO	NSD1
STPK13	PLK1
STQTL9	HMGA2
STWS	LIFR
STWS2	IL6ST
STX11	STX11
STXBP2	STXBP2
SUFU	SUFU
SUFUH	SUFU
SUFUXL	SUFU
SUG-1	PSMC5
SUG1	PSMC5
SUG2	PSMC6
SUP	HERPUD1
SUR8	SHOC2
SUZ12	SUZ12
SVAS	ELN
SVP65	SYT1
SWD3	WDR5
SWDS	SBDS
SWI3	SMARCC1
SWNTS1	SMARCB1
SWNTS2	LZTR1
SWNV	NF2
SYK	SYK
SYN	FYN
SYND4	SDC4
SYT1	SYT1
SeptD1	SEPTIN9
Septin-5	SEPTIN5
Septin-6	SEPTIN6
Set1B	SETD1B
Sfh1p	SMARCB1
SgV	SCG5
SgVI	GNAS
Shfdg1	SEM1
ShhNC	SHH
Sky	TYRO3
SmgGDS	RAP1GDS1
Snr1	SMARCB1
Spc7	KNL1
Ssl2	ERCC3
Sth1p	SMARCA2
T/EBP	NKX2-1
T14	CD27
T9	TFRC
TAAD2	TGFBR2
TAAV688	APH1B
TACSTD1	EPCAM
TACSTD2	TACSTD2
TAF15	TAF15
TAF2N	TAF15
TAFII68	TAF15
TAK	CDK9
TAL-2	TAL2
TAL1	TAL1
TAL2	TAL2
TAN1	NOTCH1
TANCR	TNFSF10
TANGO	ARNT
TANK2	TNKS2
TAR	RBM8A
TARG1	NDRG1
TAZ	WWTR1
TBHS2	CDH11
TBP-7	PSMC4
TBP1	PSMC3
TBP10	PSMC5
TBP7	PSMC4
TBR-1	TBR1
TBR-i	TGFBR1
TBR-ii	TGFBR2
TBR1	TBR1
TBRI	TGFBR1
TBRII	TGFBR2
TBRS	DNMT3A
TC-PTP	PTPN2
TC45	PTPN2
TC48	PTPN2
TCAB1	WRAP53
TCEA	TCEA1
TCEA1	TCEA1
TCELLPTP	PTPN2
TCF-12	TCF12
TCF-13	TEAD1
TCF-3	TCF3
TCF-4	TCF7L2
TCF12	TCF12
TCF13	TEAD1
TCF13L1	TEAD4
TCF3	TCF3
TCF4	TCF7L2
